"signature","major_cancer_type","n_msi","n_mss","msi_pos","msi_neg","mss_pos","mss_neg","msi_pos_rate","mss_pos_rate","odds_ratio","p_value","p_adj"
"C_ID8/InsDel8","Bladder",3,195,0,3,23,172,0,0.117948717948718,0,1,1
"C_ID9/InsDel9","Bladder",3,195,0,3,26,169,0,0.133333333333333,0,1,1
"C_ID10/InsDel10","Bladder",3,195,0,3,7,188,0,0.0358974358974359,0,1,1
"C_ID14/InsDel14","Bladder",3,195,0,3,3,192,0,0.0153846153846154,0,1,1
"C_ID18/InsDel18","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"ID_A/InsDel_A_alpha","Bladder",3,195,0,3,11,184,0,0.0564102564102564,0,1,1
"ID_A/InsDel_A_beta","Bladder",3,195,0,3,6,189,0,0.0307692307692308,0,1,1
"ID_E/InsDel_E","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"ID_G/InsDel_G","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"ID_I/InsDel_I","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID1/InsDel1b","Breast",6,947,0,6,23,924,0,0.0242872228088701,0,1,1
"C_ID1/InsDel1c","Breast",6,947,0,6,51,896,0,0.0538542766631468,0,1,1
"C_ID2/InsDel2a","Breast",6,947,0,6,18,929,0,0.0190073917634636,0,1,1
"C_ID2/InsDel2b","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"C_ID5/InsDel5c","Breast",6,947,0,6,37,910,0,0.0390707497360085,0,1,1
"C_ID8/InsDel8","Breast",6,947,0,6,88,859,0,0.0929250263991552,0,1,1
"C_ID9/InsDel9","Breast",6,947,0,6,128,819,0,0.135163674762408,0,1,1
"C_ID10/InsDel10","Breast",6,947,0,6,23,924,0,0.0242872228088701,0,1,1
"C_ID17/InsDel17","Breast",6,947,0,6,15,932,0,0.0158394931362196,0,1,1
"C_ID19/InsDel19a","Breast",6,947,0,6,14,933,0,0.0147835269271383,0,1,1
"C_ID23/InsDel23","Breast",6,947,0,6,13,934,0,0.013727560718057,0,1,1
"ID_A/InsDel_A_alpha","Breast",6,947,0,6,45,902,0,0.0475184794086589,0,1,1
"ID_A/InsDel_A_beta","Breast",6,947,0,6,57,890,0,0.0601900739176346,0,1,1
"ID_C/InsDel_C","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"ID_E/InsDel_E","Breast",6,947,0,6,19,928,0,0.0200633579725449,0,1,1
"ID_F/InsDel_F","Breast",6,947,0,6,12,935,0,0.0126715945089757,0,1,1
"ID_H/InsDel_H","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"ID_N/InsDel_N_alpha","Breast",6,947,0,6,5,942,0,0.00527983104540655,0,1,1
"C_ID1/InsDel1a","CNS",5,367,2,3,162,205,0.4,0.44141689373297,0.844002903258858,1,1
"C_ID1/InsDel1c","CNS",5,367,0,5,38,329,0,0.103542234332425,0,1,1
"C_ID2/InsDel2b","CNS",5,367,0,5,8,359,0,0.0217983651226158,0,1,1
"C_ID3/InsDel3a","CNS",5,367,0,5,4,363,0,0.0108991825613079,0,1,1
"C_ID3/InsDel3b","CNS",5,367,0,5,6,361,0,0.0163487738419619,0,1,1
"C_ID5/InsDel5b","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID5/InsDel5c","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID6/InsDel6","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID10/InsDel10","CNS",5,367,0,5,45,322,0,0.122615803814714,0,1,1
"C_ID11/InsDel11","CNS",5,367,0,5,4,363,0,0.0108991825613079,0,1,1
"C_ID12/InsDel12","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID13/InsDel13","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID17/InsDel17","CNS",5,367,0,5,7,360,0,0.0190735694822888,0,1,1
"C_ID18/InsDel18","CNS",5,367,0,5,5,362,0,0.0136239782016349,0,1,1
"C_ID19/InsDel19a","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID23/InsDel23","CNS",5,367,0,5,5,362,0,0.0136239782016349,0,1,1
"ID_B/InsDel_B","CNS",5,367,0,5,29,338,0,0.0790190735694823,0,1,1
"ID_H/InsDel_H","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"ID_I/InsDel_I","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID1/InsDel1b","Colon",24,628,0,24,13,615,0,0.0207006369426752,0,1,1
"C_ID4/InsDel4","Colon",24,628,0,24,3,625,0,0.00477707006369427,0,1,1
"C_ID5/InsDel5a","Colon",24,628,0,24,17,611,0,0.0270700636942675,0,1,1
"C_ID6/InsDel6","Colon",24,628,0,24,10,618,0,0.0159235668789809,0,1,1
"C_ID8/InsDel8","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"C_ID9/InsDel9","Colon",24,628,0,24,14,614,0,0.0222929936305732,0,1,1
"C_ID10/InsDel10","Colon",24,628,0,24,9,619,0,0.0143312101910828,0,1,1
"C_ID19/InsDel19a","Colon",24,628,0,24,8,620,0,0.0127388535031847,0,1,1
"C_ID23/InsDel23","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_C/InsDel_C","Colon",24,628,0,24,3,625,0,0.00477707006369427,0,1,1
"ID_F/InsDel_F","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_G/InsDel_G","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"ID_I/InsDel_I","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_K/InsDel_K","Colon",24,628,0,24,4,624,0,0.00636942675159236,0,1,1
"ID_L/InsDel_L","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_N/InsDel_N_alpha","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"C_ID1/InsDel1b","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID2/InsDel2a","Kidney",2,304,0,2,2,302,0,0.00657894736842105,0,1,1
"C_ID2/InsDel2b","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"C_ID3/InsDel3b","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID5/InsDel5b","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID6/InsDel6","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID8/InsDel8","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID9/InsDel9","Kidney",2,304,0,2,10,294,0,0.0328947368421053,0,1,1
"C_ID10/InsDel10","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID17/InsDel17","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"C_ID18/InsDel18","Kidney",2,304,0,2,2,302,0,0.00657894736842105,0,1,1
"C_ID19/InsDel19b","Kidney",2,304,0,2,59,245,0,0.194078947368421,0,1,1
"C_ID23/InsDel23","Kidney",2,304,0,2,5,299,0,0.0164473684210526,0,1,1
