"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel17","Lung",0.22086129213843,0.124055764802334,1,0.229530489942645
"InsDel18","Lung",0,0.00110684997783775,0,0.00390652933354501
"InsDel19a","Lung",1.50000339124146,0.289048916793421,9,0.436692608105169
"InsDel19b","Lung",0.923103288826167,0.402961542840325,177,0.549537943775704
"InsDel23","Lung",0,0.00254765582243619,0,0.00856012356338561
"InsDel_A_alpha","Lung",0.411078667584234,0.00850668445880613,8,0.0238187164846572
"InsDel_A_beta","Lung",0.426899748554484,0.0400831584890326,6,0.0930106440077
"InsDel_B","Lung",1.03517914965661,0.77512588569651,104,0.865832106363123
"InsDel_C","Lung",0,0.0317918777257976,0,0.0758669809365625
"InsDel_D","Lung",0.722139601322872,0.337919523874138,11,0.496245454640343
"InsDel_E","Lung",1.45049841359651,0.242223473784614,10,0.398956309762893
"InsDel_F","Lung",0.268450365293076,0.0452614041981949,2,0.104449394303527
"InsDel_G","Lung",3.41212708953686,0.000495221205304217,13,0.00184064518785638
"InsDel_H","Lung",0,0.0309896836462696,0,0.0748026846634094
"InsDel_I","Lung",0,0.397432720097282,0,0.545495890329603
"InsDel_J","Lung",0.6074807562851,0.303863645267446,6,0.455795467901168
"InsDel_K","Lung",1.05825041666636,0.714783672224883,2,0.815785712865355
"InsDel_L","Lung",0.792813783483018,1,2,1
"InsDel_M","Lung",1.75787664662327,0.421100020824894,3,0.564222282547806
"InsDel_N_alpha","Lung",0.180721436094389,0.0602571390299003,1,0.131419057862932
"InsDel_N_beta","Lung",0.654164844447476,5.66864362115872e-06,168,2.56003260310394e-05
"InsDel1a","Ovary",0.844421029291428,0.18575466398907,134,0.315404167090899
"InsDel1b","Ovary",0.496018051381235,0.28805889564582,3,0.436692608105169
"InsDel1c","Ovary",0.753083602139803,0.306092225890554,17,0.456579721139987
"InsDel2a","Ovary",0.41664400436255,0.0850394781830122,4,0.173381460373132
"InsDel2b","Ovary",0,0.0518880129979499,0,0.115920029037973
"InsDel2c","Ovary",0.25928933797226,0.18623865104415,1,0.315404167090899
"InsDel3a","Ovary",0.336458923704547,0.370759529872755,1,0.529050990575744
"InsDel3b","Ovary",0.0277690299677205,2.23049211733176e-13,1,1.87361337855868e-12
"InsDel4","Ovary",1.10224555860957,0.622634504053898,33,0.75090039997693
"InsDel5a","Ovary",0.506932031288329,0.000743539756951412,25,0.00269212670620339
"InsDel5b","Ovary",0.401266648308088,0.519291800220743,1,0.656531543535282
"InsDel5c","Ovary",0.489427166464444,0.288617752993982,3,0.436692608105169
"InsDel6","Ovary",11.7706234799054,7.93304527913918e-69,134,4.16484877154807e-67
"InsDel7","Ovary",0.157718479897936,0.0320838413746706,1,0.0761311490246422
"InsDel8","Ovary",3.54186529660678,8.18440595755201e-10,39,5.37101640964351e-09
"InsDel9","Ovary",3.6782317525227,4.66638971612102e-21,106,6.32220542184138e-20
"InsDel10","Ovary",0,0.0013474670550864,0,0.0047161346928024
"InsDel11","Ovary",0.634155175845056,1,1,1
"InsDel12","Ovary",0,0.0524552486407308,0,0.116567219201624
"InsDel13","Ovary",0.0708007364345706,3.24751502152891e-05,1,0.000136395630904214
"InsDel14","Ovary",0,1.80435172088094e-06,0,8.61167866784086e-06
"InsDel17","Ovary",0,0.264935192902866,0,0.419897286864919
"InsDel18","Ovary",0,0.0782508786200359,0,0.161898369558695
"InsDel19a","Ovary",0,0.119540465900244,0,0.223142203013789
"InsDel19b","Ovary",1.67634177305952,6.95192560815661e-05,116,0.00028625576033586
"InsDel23","Ovary",0,0.119540465900244,0,0.223142203013789
"InsDel_A_alpha","Ovary",1.35253371756259,0.365063580205252,11,0.525091450980156
"InsDel_A_beta","Ovary",0.156702650883994,0.0323727217828219,1,0.0763850738695799
"InsDel_B","Ovary",0.831048502047735,0.322777055359196,40,0.479033085692093
"InsDel_C","Ovary",0,0.263197386068658,0,0.418723114200137
"InsDel_D","Ovary",0.139570476263247,0.0152785583913515,1,0.0393680645666726
"InsDel_E","Ovary",0.595089642401072,0.77390327714555,2,0.865832106363123
"InsDel_F","Ovary",0.617139093343316,0.771785897485122,2,0.865832106363123
"InsDel_G","Ovary",0.941059463915028,1,2,1
"InsDel_H","Ovary",1.10602311880976,0.703517063330409,2,0.807314662838175
"InsDel_I","Ovary",0,1,0,1
"InsDel_J","Ovary",0,0.0229040042702136,0,0.0562554490847352
"InsDel_K","Ovary",0,1,0,1
"InsDel_L","Ovary",0,0.628429727182723,0,0.75090039997693
"InsDel_M","Ovary",0,1,0,1
"InsDel_N_alpha","Ovary",2.2532760179727,0.0845182012192531,5,0.173159241522372
"InsDel_N_beta","Ovary",0.481487818438754,2.60671977802136e-07,61,1.35163247749256e-06
"InsDel1a","Prostate",2.73623548892538,1.07484609544641e-31,527,2.0519789094886e-30
"InsDel1b","Prostate",1.1050462034765,0.684858044319739,17,0.796787752394156
"InsDel1c","Prostate",1.3715433119291,0.0172388068897901,75,0.0441481639860477
"InsDel2a","Prostate",0.665147958584885,0.127330027314297,17,0.233531054462904
"InsDel2b","Prostate",0.599987817277994,0.300464908842514,6,0.452312765999484
"InsDel2c","Prostate",2.33250962179818,0.00185159140901311,20,0.00642701150235955
"InsDel3a","Prostate",0.494379094719705,0.24544938459552,4,0.402690396602025
"InsDel3b","Prostate",0.247552066818352,9.73509517990491e-16,24,9.73509517990491e-15
